id,osmid,name,alt_name,light_pol,lat,lng
76,2967967,Percy Park,Percy Park,29.0335835,46.50704535,-80.98132957
77,2979287,Unknown,Minnow Lake Conservation Area,17.69341416,46.49415161,-80.95295389
78,2979735,Unknown,Minnow Lake Place,26.71159378,46.49496828,-80.95957491
79,2980927,Off-Leash Dog Park,Off-Leash Dog Park,68.86108948,46.50147035,-80.93661346
80,2997460,Grotto of Our Lady of Lourdes,Grotto of Our Lady of Lourdes,78.16868713,46.48710513,-80.98690545
81,3006066,Unknown,427 Morris Street,28.79999924,46.48442158,-80.98213934
82,3075796,Unknown,38 Domenico Street,43.06000137,46.48242752,-81.05872951
83,3075811,Unknown,4 Venice Street,69.53976594,46.4801062,-81.0594952
84,3086739,Diorite Playground,Diorite Playground,30.48986524,46.47971862,-81.06520465
85,3138871,Victory Park,Victory Park,25.19648764,46.5049586,-81.00655935
86,3144178,Unknown,833 Burton Avenue,19.04000092,46.50967619,-81.00466929
87,3145856,Ryan Heights Playground,Ryan Heights Playground,53.24000168,46.5078289,-80.99301258
88,3157838,Unknown,1273 Gemmell Street,26.10000038,46.51200417,-80.94923234
89,3162510,Optimist Harbourview Park,Optimist Harbourview Park,31.9800005,44.50426385,-80.22785942
90,3181466,Adamsdale Playground,Adamsdale Playground,25.44302168,46.49717703,-80.93491961
91,3183454,Bancroft Waterfront Park,Bancroft Waterfront Park,16.58314203,46.49372947,-80.95403686
92,3183455,Unknown,Carmichael Community Centre,13.79130688,46.49030353,-80.95628934
93,3183457,Unknown,19 Glen Avenue,14.46000004,46.49055696,-80.95327201
94,3201331,Bobbie Rosenfeld Park,Bobbie Rosenfeld Park,105.3899994,43.64186177,-79.38735907
95,3277269,Unknown,20 Balsam Street,29.61000061,46.47390897,-81.06703199
96,3277375,Unknown,Subway Street,29.02000046,46.47771256,-81.06567074
97,3349196,Unknown,Creighton Road,17.51072655,46.47615631,-81.07169032
98,3359975,Unknown,Power & Godfrey,20.20037145,46.47312244,-81.06915764
99,3385852,Shoreview park,Shoreview park,17.22999954,44.39617751,-79.65446421
100,3444526,Hockley Valley Provincial Park,Hockley Valley Provincial Park,0.609583332,43.98638117,-80.062584
101,3541152,Unknown,21 Park Street,13.34000015,46.4781411,-81.06989242
102,3551941,Meatbird Park,Meatbird Park,1.992636387,46.45036883,-81.15078782
103,3556682,Unknown,Cambrian Arena,45.05139755,46.51053054,-80.99237206
