osm_id,name,type,light_pol,lat,lng
"168893444",Unknown,leisure-park,41.9288356870,44.017746,-79.455892
"168893447",Unknown,leisure-park,35.0800018310,44.022270,-79.454407
"168932520",Packham Road Sports Complex,leisure-park,20.7640969330,43.348636,-81.010220
"168948858",Unknown,leisure-park,29.2999992370,43.421333,-80.503122
"168948862",Unknown,leisure-park,34.4399986270,43.419275,-80.508576
"168957719",East Little River Park,leisure-park,16.3802441900,42.326938,-82.892741
"168990432",Raddatz Park,leisure-park,44.2419721010,43.447423,-80.511495
"168991420",Unknown,leisure-park,40.1589961130,43.445794,-80.508879
"168991607",Unknown,leisure-park,39.9231628920,43.446276,-80.507464
"168991917",Unknown,leisure-park,39.8400001530,43.447173,-80.508866
"169002171",Woodside National Historic Park,leisure-park,42.8379754550,43.463573,-80.480206
"169012689",R. W. Moffatt Park,leisure-park,12.6680112890,43.895531,-79.739342
"169012968",Hillsdale Avenue Parkette,leisure-park,60.2599983220,43.703794,-79.396654
"169192078",Summerside Woods Park,leisure-park,20.1582047630,43.430159,-80.545692
"169192097",Unknown,leisure-park,21.9478801690,43.429146,-80.550802
"169192416",Eastforest Park,leisure-park,21.2489093380,43.432602,-80.536575
"169192683",Shadyridge Woods,leisure-park,20.5984469660,43.432991,-80.545826
"169192754",Highgate Road SWP,leisure-park,21.2099990840,43.430206,-80.549610
"169193519",Unknown,leisure-park,0.9599999785,43.975876,-78.341299
"169233914",Unknown,leisure-park,44.4300003050,43.441075,-80.480248
"169234250",Unknown,leisure-park,39.3800010680,43.438440,-80.474100
"169234252",Unknown,leisure-park,42.6836620780,43.439470,-80.475640
"169234253",Unknown,leisure-park,45.2445993560,43.440428,-80.477644
"169283942",Unknown,leisure-park,27.1399993900,43.482326,-79.692985
"169288278",Flannery Green,leisure-park,25.4378703080,45.364481,-75.682490
"169288338",Marble Park,leisure-park,24.8028480970,45.366931,-75.680802
"169296072",Unknown,leisure-park,1.1900000572,44.484354,-76.999517
"169343120",Unknown,leisure-park,32.8050003050,43.408481,-80.506496
"169458122",Unknown,leisure-park,4.6399998665,44.046316,-79.279206
"169458790",Unknown,leisure-park,3.4600000381,44.037252,-79.275234
"169465743",Unknown,leisure-park,11.5799985750,43.487187,-80.411284
"169511726",Unknown,leisure-park,13.4175162430,43.181068,-79.535377
"169511782",Unknown,leisure-park,25.3199996950,43.199329,-79.592488
"169516701",Nimiq Park,leisure-park,19.9020785830,45.284758,-75.673867
"169589648",Harvest Hills Park,leisure-park,34.0999984740,44.067740,-79.494663
"169591369",Environmental Park,leisure-park,29.4019402600,44.058996,-79.493874
"169591918",Unknown,leisure-park,31.2500000000,44.054611,-79.495332
"169659945",Unknown,leisure-park,59.1853720610,44.039556,-79.447601
"169660978",Unknown,leisure-park,53.5225688360,44.036126,-79.455767
