87,3145856,Ryan Heights Playground,53.24000168,-80.99301258,46.5078289
88,3157838,Unknown,26.10000038,-80.94923234,46.51200417
89,3162510,Optimist Harbourview Park,31.9800005,-80.22785942,44.50426385
90,3181466,Adamsdale Playground,25.44302168,-80.93491961,46.49717703
91,3183454,Bancroft Waterfront Park,16.58314203,-80.95403686,46.49372947
92,3183455,Unknown,13.79130688,-80.95628934,46.49030353
93,3183457,Unknown,14.46000004,-80.95327201,46.49055696
94,3201331,Bobbie Rosenfeld Park,105.3899994,-79.38735907,43.64186177
95,3277269,Unknown,29.61000061,-81.06703199,46.47390897
96,3277375,Unknown,29.02000046,-81.06567074,46.47771256
97,3349196,Unknown,17.51072655,-81.07169032,46.47615631
98,3359975,Unknown,20.20037145,-81.06915764,46.47312244
99,3385852,Shoreview park,17.22999954,-79.65446421,44.39617751
100,3444526,Hockley Valley Provincial Park,0.609583332,-80.062584,43.98638117
101,3541152,Unknown,13.34000015,-81.06989242,46.4781411
102,3551941,Meatbird Park,1.992636387,-81.15078782,46.45036883
103,3556682,Unknown,45.05139755,-80.99237206,46.51053054
104,3556859,Unknown,18.16354532,-80.99746618,46.51509276
105,3558125,Selkirk Park,19.9044348,-81.00044103,46.51052385
106,3568985,Unknown,31.77660594,-80.98602304,46.52244653
107,3571089,McLean Playground,36.99000168,-80.97836807,46.52092832
108,3603559,Westmount Playground,41.70772544,-80.94071685,46.51078861
109,3635256,Unknown,28.79999924,-80.98271992,46.48254499
110,3740296,Fielding Memorial Park,6.905629587,-81.09490715,46.42720797
111,3781548,Davis Centre Quad,99.09999847,-80.54310515,43.47248575
112,3810768,Parkview Gardens Parkette,33.34999847,-79.46942885,43.65344834
113,3816365,Blackfriar Park,63.84999847,-79.5623893,43.69502423
114,3896308,Summerhill Park,30.52406363,-80.93139205,46.51167197
115,3902260,Nickel District Park,40.89268886,-80.92741961,46.51821943
116,3902377,Grassy Hill Park,38.75999832,-80.92932576,46.51646904
117,3933582,Pier 4 Park,20.79413464,-79.86714316,43.27326438
118,3989810,East End Playground,14.35341738,-80.91111645,46.48986706
119,4009662,Autumnwood Playground,13.48624042,-80.92413462,46.49139746
120,4010797,Grace Sprots Field,20.23789529,-80.92980635,46.48922651
121,4059170,Korpela Park,18.22011737,-80.93358778,46.48541531
122,4084205,Ridgemount Playground,14.02000046,-80.90094487,46.49140982
123,4133450,Dorset Tot Lot,13.1235286,-80.91510154,46.48657973
124,4187898,Moonlight Beach Park,2.240111329,-80.90936437,46.47458825
125,4187923,Camp Sudaca,2.569999933,-80.91202057,46.47148033
126,4192851,Unknown,19.75,-79.97569706,43.22467193
127,4799841,Underpass Park,82.37999725,-79.35486936,43.65565737
128,5125534,Glen Elm,46.86485982,-80.54271919,43.49126178
129,5500344,Victoria Park,38.18873203,-80.9343798,44.57042951
